time,id,pos,in_network
764,9,"[31.084024952087155, 59.95514516250856]",true
764,10,"[31.68810577029982, 46.01267003919588]",true
765,1,"[53.34696882049376, 45.028532901122176]",true
765,5,"[70.28018794668922, 53.59007750383359]",true
765,6,"[50.04797382179622, 54.643614258559886]",true
765,7,"[46.440426695256036, 56.29553186794393]",true
765,9,"[30.998783610255078, 60.00740140428751]",true
765,10,"[31.607888867102623, 46.034753062258716]",true
766,1,"[53.34219917548329, 45.026346109293954]",true
766,5,"[70.37302686320122, 53.55302070790213]",true
766,6,"[50.049675542576665, 54.64448327501664]",true
766,7,"[46.51567582302803, 56.361355951840885]",true
766,9,"[30.91354226842301, 60.05965764606646]",true
766,10,"[31.527671963905437, 46.05683608532154]",true
767,1,"[53.337429530472825, 45.024159317465724]",true
767,5,"[70.46586577971324, 53.51596391197066]",true
767,6,"[50.05137726335711, 54.645352291473394]",true
767,7,"[46.59092495080004, 56.42718003573785]",true
767,9,"[30.828300926590934, 60.111913887845425]",true
767,10,"[31.447455060708236, 46.078919108384376]",true
768,1,"[53.332659885462355, 45.0219725256375]",true
768,5,"[70.55870469622523, 53.478907116039196]",true
768,6,"[50.05307898413756, 54.646221307930155]",true
768,7,"[46.666174078572034, 56.493004119634804]",true
768,9,"[30.743059584758868, 60.164170129624374]",true
768,10,"[31.36723815751105, 46.10100213144721]",true
769,1,"[53.327890240451886, 45.01978573380928]",true
769,5,"[70.65154361273726, 53.441850320107726]",true
769,6,"[50.054780704918, 54.64709032438691]",true
769,7,"[46.741423206344045, 56.55882820353176]",true
769,9,"[30.743059584758868, 60.164170129624374]",true
769,10,"[31.287021254313853, 46.123085154510036]",true
770,1,"[53.323120595441424, 45.01759894198105]",true
770,5,"[70.74438252924925, 53.40479352417626]",true
770,6,"[50.056482425698455, 54.64795934084367]",true
770,7,"[46.81667233411604, 56.62465228742872]",true
770,9,"[30.696328584606327, 60.25154627616619]",true
770,10,"[31.206804351116666, 46.14516817757287]",true
771,1,"[53.318350950430954, 45.01541215015283]",true
771,5,"[70.83722144576126, 53.3677367282448]",true
771,6,"[50.0581841464789, 54.648828357300424]",true
771,7,"[46.89192146188804, 56.69047637132567]",true
771,9,"[30.649597584453783, 60.33892242270801]",true
771,10,"[31.126587447919476, 46.1672512006357]",true
772,1,"[53.31358130542049, 45.0132253583246]",true
772,5,"[70.93006036227327, 53.33067993231334]",true
772,6,"[50.05988586725935, 54.649697373757185]",true
772,7,"[46.96717058966004, 56.756300455222636]",true
772,9,"[30.602866584301236, 60.42629856924984]",true
772,10,"[31.04637054472228, 46.18933422369853]",true
773,1,"[53.30881166041002, 45.011038566496374]",true
773,5,"[71.02289927878527, 53.293623136381875]",true
773,6,"[50.06158758803979, 54.65056639021394]",true
773,7,"[47.04241971743204, 56.822124539119585]",true
773,9,"[30.556135584148695, 60.51367471579165]",true
773,10,"[30.966153641525093, 46.21141724676136]",true
774,1,"[53.30404201539955, 45.00885177466815]",true
774,5,"[71.11573819529728, 53.256566340450405]",true
774,6,"[50.06328930882024, 54.6514354066707]",true
774,7,"[47.11766884520405, 56.88794862301655]",true
774,9,"[30.509404583996147, 60.60105086233348]",true
774,10,"[30.885936738327896, 46.23350026982419]",true
775,1,"[53.29927237038909, 45.00666498283992]",true
775,5,"[71.20857711180929, 53.21950954451894]",true
775,6,"[50.064991029600684, 54.652304423127454]",true
775,7,"[47.19291797297605, 56.953772706913504]",true
775,9,"[30.462673583843607, 60.688427008875294]",true
775,10,"[30.805719835130706, 46.25558329288702]",true
776,1,"[53.29450272537862, 45.0044781910117]",true
776,5,"[71.30141602832128, 53.18245274858748]",true
776,6,"[50.06669275038114, 54.65317343958421]",true
776,7,"[47.268167100748045, 57.01959679081045]",true
776,9,"[30.415942583691063, 60.775803155417115]",true
776,10,"[30.72550293193352, 46.277666315949844]",true
777,1,"[53.28973308036816, 45.00229139918347]",true
777,5,"[71.3942549448333, 53.14539595265601]",true
777,6,"[50.06839447116158, 54.65404245604097]",true
777,7,"[47.34341622852005, 57.08542087470742]",true
777,9,"[30.369211583538515, 60.863179301958944]",true
777,10,"[30.645286028736322, 46.29974933901268]",true
778,1,"[53.28496343535769, 45.00010460735525]",true
